,날짜,리뷰,평점
0,2019.04.24 10:31,마블 3000만큼 사랑합니다,10
1,2019.04.24 09:35,Avengers Assemble!,10
2,2019.04.24 10:32,I'm Ironman.,10
3,2019.04.24 11:05,아이언맨으로 시작해서 아이언맨으로 끝난다..,10
4,2019.04.24 10:47,아스가디언즈 오브 갤럭시 벌써부터 기대됨 ㅋㅋㅋㅋ,10
5,2019.04.24 10:07,히어로물보고 울줄 누가알겠습니까,10
6,2019.04.24 12:20,인피니티워가 10년을 무너뜨리는 영화라면엔드게임은 10년을 돌아보는 영화입니다,10
7,2019.04.24 15:26,쥐가다살렸음 ㅋㅋㅋㅋ,10
8,2019.04.24 10:51,마지막 한타에서 쌌습니다,10
9,2019.04.24 11:50,10점 안주는 사람들은 마블에 6에서900까지밖에 애정이 없는거 ...,10
10,2019.04.24 09:07,영화 늦게 볼 수밖에 없는사람들을 생각해서 스포 자제해주세요ㅠㅠㅠ,10
11,2019.04.24 10:40,토르 등장씬보다 멋있는 어벤져스 집결씬,10
12,2019.04.24 09:41,"내 어린시절 11년을 즐겁게 해준 어벤져스 원년 멤버들... 마블 영화 한편 한편이 저의 초중고 시절, 울고 웃었던 추억이 되었어요. 아 눈물날거같애. 그동안 즐거웠고 감사했습니다.",10
13,2019.04.24 10:51,고맙다.나의 20대를 채워줘서,10
14,2019.04.24 09:38,와 내가 3시간동안 화장실을 안갔어 ;;;,10
15,2019.04.24 10:29,가장 큰 충격은 쿠키영상이 없단거다,8
16,2019.04.24 10:42,헤일... 하이드라...,10
17,2019.04.24 13:00,토르 등장씬은 마블 역대 명장면중 2위로 물러났다,10
18,2019.04.24 13:41,토르의 뱃살은 밸런스를 위해서라는 게 학계의 정설,10
19,2019.04.24 13:53,캡틴이 행복하면 그걸로 됐어.,10
20,2019.04.24 12:29,뭐 심하게 재미있지는 않고... 한 4번정도만 봐야겠어요... 아이맥스로..,10
21,2019.04.24 11:36,하일하이드라 ㅋㅋㅋㅋ 650석 사람들 다빵터졌다,10
22,2019.04.24 21:59,"자기밖에 모르던 사람은 모두를 위하고타인밖에 모르던 사람은 자기를 위할 줄 알게되는지금까지의 인생에 복수(avenge)할 줄 아는 사람, 그런 영웅들의 이야기",10
23,2019.04.24 10:41,"앞으로 얼마나 더 재미있고 얼마나 더 웅장한 영화들이 나올지 모르겠지만, 2008년 아이언맨1을 시작으로 2019년 어벤져스 앤드게임까지 내 인생의 영화시리즈중 최고의 10년을 선사해준 마블에 감사합니다. 어벤져스 어샘블! ",10
24,2019.04.24 11:02,그래서로키는어디로감?,10
25,2019.04.24 09:07,진짜 대박이라는말밖에 안나옵니다...,10
26,2019.04.24 12:54,막판에 캡틴마블을 중심으로 여자 히어로들만 뭉쳐서 싸우는 장면이 있는데 마블회사가 페미를 신경쓴것 처럼 보인다.,10
27,2019.04.24 10:03,<관람 전 필수사항>모든 마블시네마틱유니버스 보기 아이언맨1 부터...,10
28,2019.04.24 09:32,스포하는 색히들 평생 저주 받아라,10
29,2019.04.24 14:39,이 모든게 닥터 스트레인지의 엔드게임이었다는거..,10
30,2019.04.26 10:33,한마디만 할게 스포아니다 화장실 갈타이밍은 도쿄 그때 가라,10
31,2019.04.24 16:18,히어로물 뻔하다고 여친때메 이거 안보고 영화 생일봤음 상영관1개였는데 여친 나 단두명 이었음 그 넓은 영화관에진짜 존나진지하게 헤어질까 고민중임,10
32,2019.04.24 19:13,마블을 대표하는 가장 상반된 두 히어로가 맞이하는 가장 서로에 가까운 결말,10
33,2019.04.25 03:53,하워드 스타크와 하워드 포츠가 만날 때 너무 애잔했다..,10
34,2019.04.24 12:09,영웅들 한 곳에 모이는 씬에서 지립니다...,10
35,2019.04.25 18:48,자신만을 위해 살아온 아이언맨은 모두를 위해 희생하고 모두를 위해 희생해온 캡틴은 자신을 위해 선택했다,10
36,2019.04.24 11:25,그래서 아스가디언즈 오브 갤럭시는 언제 개봉인가요?ㅋㅋㅋ,10
37,2019.04.24 13:19,엉덩이는 역시 미국 엉덩이!,10
38,2019.04.24 10:55,3시간에 담은 11년 마블의 역사 인정,10
39,2019.04.24 21:10,솔직히 극한직업이랑 이 영화랑 같은 표값인게 말이안됨ㅋㅋ,10
40,2019.04.24 11:16,I'm Iron Man.,10
41,2019.04.24 10:37,해리포터 마지막 시리즈 보다 더 해 이 느낌은...,10
42,2019.04.24 10:39,7시 처음 상영영화로 봤어요 그냥 아무말도 안하겠습니다 제가 느낀 감정을 보는 모든분들이 느꼈으면 좋겠어요 일단 보세요 제발ㅠ,10
43,2019.04.24 12:14,조조예매하고 못일어났다..,10
44,2019.04.24 12:48,이 영화 제대로 즐길려면 마블 전작 다 보고 오셔야합니다.,10
45,2019.04.24 11:00,인피니티워가 더 낫다. 근데 평생 기억에남게 될 건 엔드게임이다.,10
46,2019.04.24 10:41,시간가는줄 모르고 봤지만 액션만 기대하면 절대 안됩니다. 각 캐릭터별로 스토리를 풀다보니 액션보단 드라마영화에 가깝다고 느껴지네요.. 느낌은 예전에 다크나이트를 보고 다크나이트라이즈를 본느낌?? 4가 정말 재밌긴 하지만 개인적으론 3이 더 재밌었습니다 ,10
47,2019.04.24 11:14,"3,000 love you",10
48,2019.04.24 10:15,진짜 마지막에 너무 먹먹햇어요... 마블팬이시라면 꼭 보셔야해요..,10
49,2019.04.24 19:55,오랜 친구를 떠나보내는기분..공허하다...좌석에서 일어나자마자 그립다,10
50,2019.04.24 10:49,아이언맨으로 시작해 아이언맨으로 끝나는 대장정,10
51,2019.04.24 11:57,마블의 시대에 살게 해주셔서 감사합니다,10
52,2019.04.24 11:30,다음 아이언맨은 아이언맨3에나온 꼬마애구나...,10
53,2019.04.24 13:29,아이언맨1부터 본사람들은 알꺼에요 이영화는 그동안 본 모든걸 보상받을 수 있는 영화라는걸,10
54,2019.04.24 11:21,감히 내가 평가 할 수준의 영화가 아니다... 10점도 부족하다 별점 3000만큼 준비해줘요...ㅠㅠ,10
55,2019.04.25 00:55,들쥐가 양자역학기계의 버튼을 누를 수 있는 확률 = 세상을 살릴 수 있는 확률 = 1/1400만 크...,10
56,2019.04.24 10:49,옆에 여자 입틀어막고 보더라 물론 나도 같이막고봄,10
57,2019.04.24 13:07,엔드게임이라는 부제는 누가 붙혔는지는 몰라도 진짜 완벽하다,10
58,2019.04.24 11:29,쿠키없으니까 기다리지마세요,10
59,2019.04.24 09:07,어벤져스!!! 어셈블,10
60,2019.04.24 10:11,전투신 미쳤어요 진짜 영화관에서 다들 소리지르고 난리남,10
61,2019.04.26 16:19,자기밖에 몰랐던 아이언맨은 대의를 위해 희생했고 대의를 위해서만 힘쓰던 캡틴아메리카는 이제야 자신의 삶을 찾았다. 서로 매우 달랐지만 결국 닮아갔다.,10
62,2019.04.24 18:33,가오갤찍는 토르.. 토르 찍는 캡틴.. 캡틴아메리카 찍는 토니..페어웰 어벤져스,10
63,2019.04.24 14:41,내가 마블영화에 네이버평점 이런거 안남기는데하나 확실한건 내가 마블영화보고 운건 처음이다단전에서 올라오는 그런 눈물 마치 내 11년의 만난 연인과 헤어지는데 동영상으로 옛 추억을 되돌려보는 느낌이랄까 가슴이 진정이 안돼고 벅찬 이 느낌을 잊기싫다 ,10
64,2019.04.24 10:41,마블 팬이라면 보고 기분이묘하실듯,10
65,2019.04.24 13:13,그로 인해 시작된 이 시작을 그가 마무리 지었다,10
66,2019.04.24 13:00,타노스... 빌런 주제에 최후까지 이토록 순교자처럼 거룩하면 어쩌잔 거냐... 아. ㅠㅠ,9
67,2019.04.24 19:35,사실상 아이언맨4엿다,10
68,2019.04.24 11:12,마지막 30분이 진짜 불태웠다....전율이....,10
69,2019.04.24 12:39,???? : hail... hydra...,10
70,2019.04.24 13:09,완다개좋아3000만큼,10
71,2019.04.25 01:54,스톤이 없는 타노스는 약할줄 알았는데 그래도 좀 쎄긴 하더라 세명을 걍 갖고놀아버리네,10
72,2019.04.24 10:43,난 아이언맨이다. 이거 한줄로 충분,10
73,2019.04.24 09:39,너무재미있어서 눈물이난다.,10
74,2019.04.24 13:04,영화보고 버거킹 갔습니다...,10
75,2019.04.24 17:36,cgv하계 I 열 6 번에 앉았던 새기야 봉지과자랑 맥주가 그렇게 쳐먹고 싶었냐?? 니때메 3번 볼거 5번 본다 ㅡㅡ 영화관에서 봉지과자좀 처먹지마세요 제발……… 죽이고 싶습니다,10
76,2019.04.24 13:16,단독 영화였으면 8점이였겠지만 지난 10년의 시리즈의 마무리와  MCU 창립멤버들의 최고의 은퇴식으로는 10점 만점,10
77,2019.04.25 18:45,2명의 죽음이 인류 절반의 죽음 보다 슬픈 것 같다. . . .,10
78,2019.04.24 13:55,토르한테 그렇게 하다니 ㅜㅠ,10
79,2019.04.24 13:10,3000편만 더 만들어 주세요,10
80,2019.04.24 11:15,대작은 대작이네요...시원섭섭하고 아쉽습니다ㅎㅎ,10
81,2019.04.24 13:01,스타크...수고햇어,10
82,2019.04.24 09:19,영화 보지도 않고서 본 척 하고 스포 하는 애들 극혐. 보지도 않았는데 왜 자꾸 본 척 스포하는거임 관종인가??;,10
83,2019.04.24 09:15,어벤져스에 댓글 알바가 필요할까?,10
84,2019.04.25 16:22,타노스... 그정도 파워면 행성 하나 잡고 왕노릇이나 하면서 살아도 되는데 굳이 우주의 질서를 위해 싸우겠다며 시간과 돈을 써가며 사람 모으고 스톤 모은... 마지막까지 불한당들과 끝까지 의연하게 싸운 모습을 보면 눈물이 나오지 않을 수가 없다... ,10
85,2019.04.24 09:26,여러분 베댓이외에는 스포가 가득할것이니 평점은 읽지맙시다,10
86,2019.04.24 19:22,여러분 맥주가 그렇게 위험합니다,10
87,2019.04.24 15:02,닥터 인성을 재조명해야함ㅠㅜ,10
88,2019.04.25 01:33,영웅들도 인간이었고 삶이있었다....,10
89,2019.04.25 11:11,세상에 스토리가 없다고 한 사람 진심인가? 설마 마블 영화를 처음으로 엔드게임부터 본거 아니겠지??단 한편에 마블의 모든 스토리를 관통했는데????,10
